seq,hue,value,chroma,r,g,b
0,5R,2,2,64,44,46
1,5R,3,2,92,66,66
2,5R,3,4,106,59,60
3,5R,3,6,118,52,54
4,5R,4,2,116,91,90
5,5R,4,4,131,85,83
6,5R,4,6,145,78,77
7,5R,4,8,157,70,70
8,5R,4,10,168,60,64
9,5R,4,12,179,48,58
10,5R,4,14,190,26,52
11,5R,5,2,140,118,117
12,5R,5,4,157,112,109
13,5R,5,6,172,105,102
14,5R,5,8,185,97,95
15,5R,5,10,198,88,87
16,5R,5,12,211,77,81
17,5R,5,14,221,65,75
18,5R,6,2,166,144,143
19,5R,6,4,183,138,135
20,5R,6,6,199,132,127
21,5R,6,8,212,125,121
22,5R,6,10,226,117,113
23,5R,6,12,239,107,106
24,5R,6,14,251,97,99
25,5R,7,2,192,171,169
26,5R,7,4,209,165,161
27,5R,7,6,226,158,153
28,5R,7,8,241,151,146
29,5R,7,10,255,143,138
30,5R,8,2,216,198,196
31,5R,8,4,237,192,187
32,5R,9,2,244,226,223
33,10R,2,2,66,44,42
34,10R,3,2,91,67,62
35,10R,3,4,105,61,52
36,10R,4,2,116,92,86
37,10R,4,4,132,86,74
38,10R,4,6,144,80,63
39,10R,4,8,156,73,50
40,10R,5,2,141,118,112
41,10R,5,4,157,112,99
42,10R,5,6,172,106,86
43,10R,5,8,185,100,73
44,10R,5,10,196,92,57
45,10R,5,12,207,84,40
46,10R,6,2,167,144,138
47,10R,6,4,184,139,124
48,10R,6,6,199,133,112
49,10R,6,8,212,127,99
50,10R,6,10,225,120,83
51,10R,6,12,236,113,67
52,10R,7,2,193,171,164
53,10R,7,4,211,165,151
54,10R,7,6,227,160,137
55,10R,7,8,242,153,123
56,10R,7,10,254,147,109
57,10R,7,12,255,140,91
58,10R,8,2,218,198,192
59,10R,8,4,239,192,176
60,10R,8,6,255,186,161
61,10R,8,8,255,179,146
62,10R,9,2,245,225,219
63,5YR,3,2,89,68,57
64,5YR,4,2,115,93,80
65,5YR,4,4,128,88,64
66,5YR,4,6,138,84,47
67,5YR,5,2,140,119,106
68,5YR,5,4,154,115,89
69,5YR,5,6,166,110,70
70,5YR,5,8,176,106,50
71,5YR,6,2,167,145,131
72,5YR,6,4,181,141,114
73,5YR,6,6,194,137,95
74,5YR,6,8,205,132,75
75,5YR,6,10,214,128,53
76,5YR,6,12,221,125,21
77,5YR,7,2,193,171,158
78,5YR,7,4,208,167,139
79,5YR,7,6,222,163,120
80,5YR,7,8,233,159,101
81,5YR,7,10,243,155,79
82,5YR,7,12,253,151,52
83,5YR,8,2,219,198,184
84,5YR,8,4,236,194,164
85,5YR,8,6,250,190,145
86,5YR,8,8,255,186,123
87,5YR,9,2,247,226,210
88,5YR,9,4,255,221,187
89,10YR,3,2,85,70,54
90,10YR,4,2,111,95,76
91,10YR,4,4,122,92,54
92,10YR,5,2,137,120,101
93,10YR,5,4,148,118,79
94,10YR,5,6,157,115,55
95,10YR,5,8,164,113,27
96,10YR,6,2,163,147,126
97,10YR,6,4,174,144,104
98,10YR,6,6,184,142,80
99,10YR,6,8,192,140,54
100,10YR,6,10,198,138,16
101,10YR,7,2,190,173,151
102,10YR,7,4,202,171,128
103,10YR,7,6,212,169,105
104,10YR,7,8,220,166,80
105,10YR,7,10,227,164,51
106,10YR,7,12,235,160,5
107,10YR,8,2,216,200,177
108,10YR,8,4,228,198,154
109,10YR,8,6,239,196,130
110,10YR,8,8,248,193,104
111,10YR,8,10,255,191,77
112,10YR,9,2,244,227,202
113,10YR,9,4,255,225,176
114,5Y,3,2,80,72,52
115,5Y,4,2,105,97,73
116,5Y,4,4,112,96,49
117,5Y,5,2,131,123,98
118,5Y,5,4,138,122,73
119,5Y,5,6,144,121,43
120,5Y,6,2,157,149,122
121,5Y,6,4,164,149,97
122,5Y,6,6,170,148,69
123,5Y,6,8,175,147,35
124,5Y,7,2,184,175,148
125,5Y,7,4,190,175,121
126,5Y,7,6,197,175,94
127,5Y,7,8,202,174,65
128,5Y,7,10,206,174,15
129,5Y,8,2,211,202,172
130,5Y,8,4,217,202,146
131,5Y,8,6,223,202,119
132,5Y,8,8,228,202,90
133,5Y,8,10,233,201,54
134,5Y,9,2,238,230,197
135,5Y,9,4,245,230,169
136,5Y,9,6,251,230,141
137,5Y,9,8,255,230,112
138,10Y,3,2,74,74,53
139,10Y,4,2,98,99,75
140,10Y,4,4,102,100,48
141,10Y,5,2,126,124,99
142,10Y,5,4,128,126,72
143,10Y,5,6,130,126,42
144,10Y,6,2,152,151,122
145,10Y,6,4,154,152,97
146,10Y,6,6,156,153,67
147,10Y,6,8,158,153,29
148,10Y,7,2,179,177,147
149,10Y,7,4,181,178,121
150,10Y,7,6,183,179,93
151,10Y,7,8,185,180,61
152,10Y,8,2,206,204,171
153,10Y,8,4,208,205,145
154,10Y,8,6,210,206,117
155,10Y,8,8,212,207,86
156,10Y,8,10,214,208,47
